Sobenome,Nome,Endereço de email,Número USP,Estado,Iniciado em,Completo,Tempo utilizado,Avaliar/10,10
Costela,Nina,nina.costela@usp.br,5467662,Finalizada,01/01/2027 03:24,01/01/2027 11:58,8:34:00,"7,25"
Viana,Bianca,bianca.viana@usp.br,5814816,Finalizada,01/01/2027 06:47,01/01/2027 16:01,9:14:00,"6,66"
Aragão,Alícia,alícia.aragão@usp.br,10948719,Finalizada,01/01/2027 02:16,01/01/2027 05:10,2:54:00,"5,11"
Oliveira,Laura,laura.oliveira@usp.br,1130389,Finalizada,01/01/2027 10:09,01/01/2027 20:07,9:58:00,"1,59"
Gustavo Martins,Luiz,luiz.gustavo@usp.br,6696712,Finalizada,01/01/2027 13:32,01/01/2027 23:07,9:35:00,"4,30"
Gomes,Alexandre,alexandre.gomes@usp.br,4239219,Finalizada,01/01/2027 22:28,01/01/2027 22:50,0:22:00,"8,51"
Henrique da Rosa,Luiz,luiz.henrique@usp.br,5631920,Finalizada,01/01/2027 09:57,01/01/2027 19:45,9:48:00,"9,84"
Rezende,Heitor,heitor.rezende@usp.br,7277736,Finalizada,01/01/2027 18:39,01/01/2027 20:00,1:21:00,"0,40"
Samuel Campos,Dr.,dr..samuel@usp.br,7538729,Finalizada,01/01/2027 11:24,01/01/2027 17:54,6:30:00,"9,25"
Pereira,Lívia,lívia.pereira@usp.br,9481693,Finalizada,01/01/2027 16:12,01/01/2027 18:15,2:03:00,"8,87"
