Sobenome,Nome,Endereço de email,Número USP,Estado,Iniciado em,Completo,Tempo utilizado,Avaliar/10,10
Leonardo Almeida,Dr.,dr..leonardo@usp.br,1023829,Finalizada,01/01/2027 10:45,01/01/2027 14:27,3:42:00,"9,73"
Guilherme Ferreira,João,joão.guilherme@usp.br,11548039,Finalizada,01/01/2027 19:38,01/01/2027 20:15,0:37:00,"6,09"
Melo,Raul,raul.melo@usp.br,7639466,Finalizada,01/01/2027 10:12,01/01/2027 19:24,9:12:00,"7,92"
Lucas Santos,João,joão.lucas@usp.br,5873536,Finalizada,01/01/2027 16:52,01/01/2027 18:16,1:24:00,"8,89"
Vitória das Neves,Ana,ana.vitória@usp.br,7931944,Finalizada,01/01/2027 05:24,01/01/2027 16:24,11:00:00,"1,45"
Costa,Lara,lara.costa@usp.br,1718207,Finalizada,01/01/2027 05:17,01/01/2027 17:26,12:09:00,"7,47"
Cavalcanti,Lavínia,lavínia.cavalcanti@usp.br,7582510,Finalizada,01/01/2027 10:44,01/01/2027 17:58,7:14:00,"3,80"
Vitória Santos,Maria,maria.vitória@usp.br,4080180,Finalizada,01/01/2027 19:23,01/01/2027 20:25,1:02:00,"7,84"
Laís Aragão,Sra.,sra..laís@usp.br,6428867,Finalizada,01/01/2027 01:57,01/01/2027 19:14,17:17:00,"5,95"
Lucas Peixoto,João,joão.lucas@usp.br,11018772,Finalizada,01/01/2027 09:01,01/01/2027 13:05,4:04:00,"3,00"
