Sobenome,Nome,Endereço de email,Número USP,Estado,Iniciado em,Completo,Tempo utilizado,Avaliar/10,10
Pinto,Sophie,sophie.pinto@usp.br,1328659,Finalizada,01/01/2027 02:47,01/01/2027 20:22,17:35:00,"3,86"
Souza,Isadora,isadora.souza@usp.br,9521306,Finalizada,01/01/2027 14:49,01/01/2027 21:03,6:14:00,"2,97"
Mendes,Daniela,daniela.mendes@usp.br,3175750,Finalizada,01/01/2027 11:45,01/01/2027 15:26,3:41:00,"5,04"
Eduarda Viana,Sra.,sra..eduarda@usp.br,2152598,Finalizada,01/01/2027 18:47,01/01/2027 23:08,4:21:00,"0,59"
Moraes,Alexandre,alexandre.moraes@usp.br,9585677,Finalizada,01/01/2027 14:26,01/01/2027 15:30,1:04:00,"7,24"
Rocha,Francisco,francisco.rocha@usp.br,9952770,Finalizada,01/01/2027 18:53,01/01/2027 21:37,2:44:00,"0,50"
da Rocha,Nicolas,nicolas.da@usp.br,2965819,Finalizada,01/01/2027 08:58,01/01/2027 18:11,9:13:00,"1,08"
Ramos,Valentina,valentina.ramos@usp.br,1351461,Finalizada,01/01/2027 15:48,01/01/2027 21:50,6:02:00,"6,46"
Fernando Melo,Luiz,luiz.fernando@usp.br,10755930,Finalizada,01/01/2027 23:55,01/01/2027 23:57,0:02:00,"3,86"
Castro,Cauê,cauê.castro@usp.br,2301429,Finalizada,01/01/2027 19:04,01/01/2027 23:45,4:41:00,"2,91"
