Sobenome,Nome,Endereço de email,Número USP,Estado,Iniciado em,Completo,Tempo utilizado,Avaliar/10,10
Eduarda da Paz,Maria,maria.eduarda@usp.br,4051990,Finalizada,01/01/2027 01:33,01/01/2027 12:52,11:19:00,"3,96"
João Gabriel Costa,Dr.,dr..joão@usp.br,1762487,Finalizada,01/01/2027 11:15,01/01/2027 14:54,3:39:00,"6,40"
Maria Vitória da Cunha,Dra.,dra..maria@usp.br,2355818,Finalizada,01/01/2027 01:18,01/01/2027 01:41,0:23:00,"7,86"
Luana Nascimento,Sra.,sra..luana@usp.br,2530464,Finalizada,01/01/2027 22:16,01/01/2027 22:29,0:13:00,"1,38"
das Neves,Maria,maria.das@usp.br,4139341,Finalizada,01/01/2027 07:15,01/01/2027 13:58,6:43:00,"7,53"
Julia Cardoso,Ana,ana.julia@usp.br,7460364,Finalizada,01/01/2027 07:54,01/01/2027 21:59,14:05:00,"1,46"
Cunha,Rodrigo,rodrigo.cunha@usp.br,2146125,Finalizada,01/01/2027 12:09,01/01/2027 21:18,9:09:00,"6,58"
Vinicius Santos,Marcos,marcos.vinicius@usp.br,11961317,Finalizada,01/01/2027 14:46,01/01/2027 19:28,4:42:00,"4,93"
Kamilly da Mota,Dra.,dra..kamilly@usp.br,11975755,Finalizada,01/01/2027 07:53,01/01/2027 23:55,16:02:00,"4,70"
da Cunha,Esther,esther.da@usp.br,6309627,Finalizada,01/01/2027 08:51,01/01/2027 09:17,0:26:00,"9,95"
