Sobenome,Nome,Endereço de email,Número USP,Estado,Iniciado em,Completo,Tempo utilizado,Avaliar/10,10
Fogaça,Noah,noah.fogaça@usp.br,5232513,Finalizada,01/01/2027 07:03,01/01/2027 10:47,3:44:00,"0,86"
da Rocha,Daniel,daniel.da@usp.br,8181134,Finalizada,01/01/2027 17:51,01/01/2027 22:41,4:50:00,"2,65"
Rocha,Ana,ana.rocha@usp.br,5116633,Finalizada,01/01/2027 04:08,01/01/2027 06:42,2:34:00,"2,81"
Pereira,Augusto,augusto.pereira@usp.br,9592428,Finalizada,01/01/2027 23:09,01/01/2027 23:42,0:33:00,"4,36"
da Rocha,Yasmin,yasmin.da@usp.br,5225125,Finalizada,01/01/2027 18:14,01/01/2027 19:24,1:10:00,"6,72"
Maria Fernanda Rocha,Dra.,dra..maria@usp.br,3870296,Finalizada,01/01/2027 16:26,01/01/2027 20:33,4:07:00,"1,40"
Farias,Carolina,carolina.farias@usp.br,3019282,Finalizada,01/01/2027 10:35,01/01/2027 12:26,1:51:00,"8,39"
Pereira,Isaac,isaac.pereira@usp.br,11047027,Finalizada,01/01/2027 19:43,01/01/2027 19:47,0:04:00,"4,86"
Lucca Melo,Davi,davi.lucca@usp.br,9977422,Finalizada,01/01/2027 00:20,01/01/2027 03:18,2:58:00,"3,06"
Castro,Bruna,bruna.castro@usp.br,9440637,Finalizada,01/01/2027 15:46,01/01/2027 20:59,5:13:00,"6,39"
Gabriel Barros,Vitor,vitor.gabriel@usp.br,3222677,Finalizada,01/01/2027 09:09,01/01/2027 21:32,12:23:00,"5,40"
Duarte,Luiza,luiza.duarte@usp.br,8939397,Finalizada,01/01/2027 00:05,01/01/2027 08:30,8:25:00,"8,88"
Miguel Silva,Luiz,luiz.miguel@usp.br,11139115,Finalizada,01/01/2027 08:54,01/01/2027 10:13,1:19:00,"9,36"
Moura,Otávio,otávio.moura@usp.br,7294045,Finalizada,01/01/2027 16:05,01/01/2027 17:30,1:25:00,"1,18"
Gabriel Rezende,Lucas,lucas.gabriel@usp.br,10713165,Finalizada,01/01/2027 22:03,01/01/2027 22:50,0:47:00,"8,81"
